Dataset,Algorithm,accuracy,precision,sensitivity,specificity,f1,auc,n_selected,Runtime_s
Ionosphere,BCMAES,0.9236467236467237,0.9246075969104411,0.9084920634920636,0.9084920634920636,0.9155151268570069,0.9664121105232215,7.3,2.368215250968933
Sonar,AMPA_FS,0.8115384615384615,0.8155533858482348,0.8071483854989008,0.8071483854989008,0.8087288380596438,0.9047057366644995,24.0,4.360553924242655
Sonar,BMPA,0.8068910256410255,0.8111981366175536,0.8022522522522523,0.8022522522522523,0.8038587246004899,0.9033776044085322,24.166666666666668,4.294920285542806
Sonar,BPSO,0.8048076923076922,0.8092537188105744,0.8000835887433824,0.8000835887433824,0.8016986739640035,0.8996548094486237,25.366666666666667,6.828440999984741
Sonar,BGA,0.8024038461538462,0.8062722105663956,0.7978746788025138,0.7978746788025138,0.7993967831010562,0.9001811089439955,20.4,2.3207285006841025
Sonar,BGWO,0.8108974358974358,0.8167740844132225,0.8058109656047798,0.8058109656047798,0.8075368850980994,0.907171604594285,28.966666666666665,7.4492427428563435
Sonar,BWOA,0.8060897435897437,0.8096673993454,0.8018265688368782,0.8018265688368782,0.8032618113061418,0.9041422866165135,26.5,6.82686706384023
Sonar,BSSA,0.8142628205128205,0.8195098327432933,0.8094842264945357,0.8094842264945357,0.8111808998582801,0.9076979040896567,29.833333333333332,6.884047977129618
Sonar,BHHO,0.8123397435897438,0.8165901507836234,0.8077907804711928,0.8077907804711928,0.8094313390807861,0.9101699637782114,28.733333333333334,6.862837886810302
Sonar,BSCA,0.8104166666666667,0.8156407345884692,0.8055122132441721,0.8055122132441721,0.8071920915732366,0.9063295254016904,29.2,6.820164275169373
Sonar,BGOA,0.8036858974358975,0.8084279317295783,0.7987291415126467,0.7987291415126467,0.8003740342720845,0.9021531841119468,33.56666666666667,7.467897605895996
Sonar,BWSO,0.8070512820512821,0.8103471366673414,0.8028574966719296,0.8028574966719296,0.8043077953569928,0.898421101513885,27.733333333333334,4.221285581588745
Sonar,BEHO,0.8072115384615385,0.810597234727294,0.8029643045106962,0.8029643045106962,0.8044663892919747,0.902521593758707,27.333333333333332,4.32671598593394
Sonar,BCMAES,0.8046474358974359,0.8077635084924417,0.8004968886412185,0.8004968886412185,0.8019317063359578,0.9000247670350763,20.266666666666666,3.9192511796951295
Dermatology,AMPA_FS,0.9635940409683427,0.9618865403170064,0.953242670487389,0.9926200859849359,0.9571645971276902,0.9964595852936039,15.266666666666667,5.475575049718221
Dermatology,BMPA,0.9609869646182496,0.9597086472799332,0.9491160879189049,0.9920845101828388,0.9538012830527052,0.995544841727721,15.233333333333333,5.260610596338908
Dermatology,BPSO,0.9657355679702049,0.9652049720576255,0.9543183852866952,0.9930164974075787,0.9592698036057948,0.9963617201341868,14.7,8.990705537796021
Dermatology,BGA,0.9608938547486033,0.9584633436628093,0.9497831458218784,0.992105076123925,0.9536558995074955,0.9952624472180942,12.9,1.3053533792495728
Dermatology,BGWO,0.9673184357541902,0.9668987033441088,0.9571420099677144,0.9933103006327483,0.961615686151936,0.9970420742615888,17.0,9.302309290568035
Dermatology,BWOA,0.9660148975791434,0.9651160722470605,0.95663110293392,0.9930971319501791,0.9603719258723828,0.9967701400235568,17.933333333333334,9.08662302494049
Dermatology,BSSA,0.9671322160148977,0.9667032219614363,0.9575796835567961,0.9932912505456223,0.9617782005944575,0.9972224201572516,17.733333333333334,9.09469321568807
Dermatology,BHHO,0.967783985102421,0.9660811815158155,0.9590753781950966,0.9934551257456755,0.9621968078849027,0.9973679627817138,18.333333333333332,9.030817604064941
Dermatology,BSCA,0.9669459962756052,0.9654171702625439,0.9580473871759083,0.9933230372970269,0.9613736021120796,0.9969355718504127,18.1,9.004593054453531
Dermatology,BGOA,0.9689944134078214,0.9676938397177979,0.9614196855306009,0.9937340932759384,0.9642430852946877,0.9973007907671588,19.133333333333333,9.633320641517638
Dermatology,BWSO,0.9617318435754191,0.959335192556599,0.9508072421012561,0.9922626299375537,0.954608618598162,0.9963796406373756,17.8,3.1563359022140505
Dermatology,BEHO,0.9649906890130353,0.963272043976579,0.9540171509537707,0.9929090754221039,0.9581975807632381,0.9965864538193104,15.866666666666667,4.659525855382284
Dermatology,BCMAES,0.9620111731843576,0.9605602008456459,0.9514170596652991,0.9923062248026693,0.9556018894662182,0.9957009791832658,12.266666666666667,2.584870394070943
Vehicle,AMPA_FS,0.7383766745468872,0.7283871780543392,0.741394174987557,0.9125839570588673,0.7334638581374011,0.9215309277880738,9.4,9.636962898572285
Vehicle,BMPA,0.7375098502758078,0.7283223991709485,0.7404710882893014,0.9123072173360971,0.7329953875303166,0.921422084058763,9.0,9.243997613588968
Vehicle,BPSO,0.7365248226950355,0.7272842594840846,0.7395295841628295,0.9119759868044375,0.7320006629547192,0.9204616170588094,9.366666666666667,15.387119340896607
Vehicle,BGA,0.740307328605201,0.7314188641464827,0.7432432546163104,0.9132144935647978,0.7359384816764823,0.9220177092710583,9.5,1.0868094921112061
Vehicle,BGWO,0.7405437352245862,0.7313574738896716,0.7435574814091896,0.9133107091714747,0.736063584276787,0.921648433405411,9.866666666666667,5.86051295598348
Vehicle,BWOA,0.7390858944050434,0.729751034180273,0.7420485862998594,0.9128210002369309,0.734605582501348,0.9230265201137241,9.8,5.933725738525391
Vehicle,BSSA,0.7386524822695036,0.7295031370774497,0.7417044573146269,0.912671382233947,0.7342285842752131,0.9213647148167603,10.066666666666666,6.020645093917847
Vehicle,BHHO,0.7436564223798265,0.7344445002414314,0.7466996912978509,0.914353863658594,0.7391449730015334,0.9241040212593261,10.266666666666667,5.942034157117208
Vehicle,BSCA,0.742080378250591,0.7330189898811624,0.7450217062526554,0.9138226016223194,0.7376830935006791,0.9219070618334239,9.166666666666666,5.901131884256999
Vehicle,BGOA,0.7406619385342791,0.7312040774651367,0.7436737829015778,0.913341336150829,0.7360155441737645,0.9222273928605094,10.8,6.548058215777079
Vehicle,BWSO,0.7364854215918046,0.7264818619190015,0.7394783924910624,0.9119603532366017,0.731557528472454,0.9217851951355904,9.866666666666667,1.1324669520060222
Vehicle,BEHO,0.7419227738376676,0.7321970896145867,0.7449501710888129,0.9137670766833677,0.7371464569927414,0.9236882297454906,10.033333333333333,4.00090069770813
